DATE_TIME,current_contract,next_contract,carry_contract
1982-12-15 23:00:00,19830300,19830500,19830100
1983-02-14 23:00:00,19830500,19830700,19830300
1983-04-15 23:00:00,19830700,19830800,19830500
1983-05-17 23:00:00,19830800,19830900,19830700
1983-06-17 23:00:00,19830900,19831000,19830800
1983-07-18 23:00:00,19831000,19831200,19830900
1983-09-16 23:00:00,19831200,19840100,19831000
1983-10-17 23:00:00,19840100,19840300,19831200
1983-12-16 23:00:00,19840300,19840500,19840100
1984-02-15 23:00:00,19840500,19840700,19840300
1984-04-16 23:00:00,19840700,19840800,19840500
1984-05-17 23:00:00,19840800,19840900,19840700
1984-06-18 23:00:00,19840900,19841000,19840800
1984-07-17 23:00:00,19841000,19841200,19840900
1984-09-17 23:00:00,19841200,19850100,19841000
1984-10-17 23:00:00,19850100,19850300,19841200
1984-12-14 23:00:00,19850300,19850500,19850100
1985-02-14 23:00:00,19850500,19850700,19850300
1985-04-16 23:00:00,19850700,19850800,19850500
1985-05-17 23:00:00,19850800,19850900,19850700
1985-06-17 23:00:00,19850900,19851000,19850800
1985-07-17 23:00:00,19851000,19851200,19850900
1985-09-16 23:00:00,19851200,19860100,19851000
1985-10-17 23:00:00,19860100,19860300,19851200
1985-12-16 23:00:00,19860300,19860500,19860100
1986-02-14 23:00:00,19860500,19860700,19860300
1986-04-16 23:00:00,19860700,19860800,19860500
1986-05-16 23:00:00,19860800,19860900,19860700
1986-06-17 23:00:00,19860900,19861000,19860800
1986-07-17 23:00:00,19861000,19861200,19860900
1986-09-16 23:00:00,19861200,19870100,19861000
1986-10-17 23:00:00,19870100,19870300,19861200
1986-12-15 23:00:00,19870300,19870500,19870100
1987-02-13 23:00:00,19870500,19870700,19870300
1987-04-16 23:00:00,19870700,19870800,19870500
1987-05-18 23:00:00,19870800,19870900,19870700
1987-06-17 23:00:00,19870900,19871000,19870800
1987-07-17 23:00:00,19871000,19871200,19870900
1987-09-16 23:00:00,19871200,19880100,19871000
1987-10-16 23:00:00,19880100,19880300,19871200
1987-12-16 23:00:00,19880300,19880500,19880100
1988-02-16 23:00:00,19880500,19880700,19880300
1988-04-15 23:00:00,19880700,19880800,19880500
1988-05-17 23:00:00,19880800,19880900,19880700
1988-06-17 23:00:00,19880900,19881000,19880800
1988-07-18 23:00:00,19881000,19881200,19880900
1988-09-16 23:00:00,19881200,19890100,19881000
1988-10-17 23:00:00,19890100,19890300,19881200
1988-12-15 23:00:00,19890300,19890500,19890100
1989-02-14 23:00:00,19890500,19890700,19890300
1989-04-17 23:00:00,19890700,19890800,19890500
1989-05-17 23:00:00,19890800,19890900,19890700
1989-06-16 23:00:00,19890900,19891000,19890800
1989-07-17 23:00:00,19891000,19891200,19890900
1989-09-15 23:00:00,19891200,19900100,19891000
1989-10-17 23:00:00,19900100,19900300,19891200
1989-12-15 23:00:00,19900300,19900500,19900100
1990-02-14 23:00:00,19900500,19900700,19900300
1990-04-16 23:00:00,19900700,19900800,19900500
1990-05-17 23:00:00,19900800,19900900,19900700
1990-06-18 23:00:00,19900900,19901000,19900800
1990-07-17 23:00:00,19901000,19901200,19900900
1990-09-17 23:00:00,19901200,19910100,19901000
1990-10-17 23:00:00,19910100,19910300,19901200
1990-12-14 23:00:00,19910300,19910500,19910100
1991-02-14 23:00:00,19910500,19910700,19910300
1991-04-16 23:00:00,19910700,19910800,19910500
1991-05-17 23:00:00,19910800,19910900,19910700
1991-06-17 23:00:00,19910900,19911000,19910800
1991-07-17 23:00:00,19911000,19911200,19910900
1991-09-16 23:00:00,19911200,19920100,19911000
1991-10-17 23:00:00,19920100,19920300,19911200
1991-12-16 23:00:00,19920300,19920500,19920100
1992-02-14 23:00:00,19920500,19920700,19920300
